Timestamp           	X_status            	X                   	Y_status            	Y                   	Z_status            	Z                   	Theta_status        	Theta               	Phi_status          	Phi                 	Omega               	ManipLimitCheck     	ManipSES            	ARPES_Slit          
10/03/2023 02:11:16 	9                   	-0.3987784          	9                   	0.0178772           	9                   	42.1375892          	9                   	-13.6518033         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 02:12:16 	9                   	-0.3987784          	9                   	0.0178772           	9                   	42.1375892          	9                   	-13.6518033         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 02:13:16 	9                   	-0.3987784          	9                   	0.0167792           	9                   	42.1375892          	9                   	-12.9533282         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 02:14:16 	9                   	-0.398754           	9                   	0.0165596           	9                   	42.1375892          	9                   	-12.9533282         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 02:15:16 	9                   	-0.3987784          	9                   	0.01634             	9                   	42.1375892          	9                   	-12.9533282         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 02:16:16 	9                   	-0.398754           	9                   	0.0151932           	9                   	42.1375892          	9                   	-12.31727           	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 02:17:16 	9                   	-0.398754           	9                   	0.0151688           	9                   	42.1375892          	9                   	-12.31727           	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 02:18:16 	9                   	-0.3986808          	9                   	0.0155348           	9                   	42.1375892          	9                   	-12.31727           	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 02:19:16 	9                   	-0.398754           	9                   	0.0139244           	9                   	42.1375892          	9                   	-11.6752674         	9                   	0.741375            	2                   	1                   	2                   	599.75              
10/03/2023 02:20:16 	9                   	-0.398754           	9                   	0.0139976           	9                   	42.1375892          	9                   	-11.6752674         	9                   	0.741375            	2                   	1                   	3                   	599.75              
10/03/2023 02:21:16 	9                   	-0.3987296          	9                   	0.0137048           	9                   	42.1375892          	9                   	-11.6752674         	9                   	0.741375            	2                   	1                   	3                   	599.75              
