Elapsed time [s]	Value [0,1E-05]
1611.578	6.97628E-7
1613.597	6.90353E-7
1615.615	6.89654E-7
1621.677	6.89737E-7
1631.781	6.89646E-7
1633.799	6.89806E-7
1641.885	6.89723E-7
1645.922	6.89599E-7
1649.970	6.89703E-7
1670.168	6.89801E-7
1676.260	6.89685E-7
1690.401	7.42915E-7
1692.420	8.51376E-7
1694.439	8.66248E-7
1696.458	8.84771E-7
1698.476	8.88566E-7
1702.519	8.88658E-7
1704.538	8.88538E-7
1710.599	8.88628E-7
1714.642	8.88427E-7
1722.722	8.88331E-7
1724.746	8.88511E-7
1734.844	8.88410E-7
1738.887	8.88564E-7
1740.906	8.88675E-7
1746.967	8.88578E-7
1748.986	8.88474E-7
1753.029	8.88372E-7
1755.052	8.88464E-7
1769.194	8.88582E-7
1775.255	8.88684E-7
1781.317	8.88499E-7
1793.439	8.92176E-7
1795.458	8.88441E-7
1801.530	8.88562E-7
1821.727	8.91753E-7
1823.746	8.88500E-7
1825.775	8.88388E-7
1829.808	8.88503E-7
1835.869	8.91036E-7
1837.888	8.88598E-7
1839.911	8.88501E-7
1841.930	8.88402E-7
1843.949	8.88630E-7
1850.010	8.99334E-7
1852.034	8.88595E-7
1854.053	8.88451E-7
1856.072	8.88318E-7
1860.114	8.88461E-7
1866.176	8.88559E-7
1868.194	8.96926E-7
1870.218	8.88453E-7
1874.256	8.88644E-7
1886.379	8.88376E-7
1892.445	8.88467E-7
1908.605	8.88585E-7
1914.667	8.88476E-7
1924.765	8.97332E-7
1926.789	8.88851E-7
1928.808	8.88431E-7
1934.869	8.88566E-7
1940.931	8.92563E-7
1942.950	8.92094E-7
1944.984	8.88475E-7
1946.997	8.88585E-7
1955.072	8.88472E-7
1961.134	8.88313E-7
1965.176	8.88467E-7
1973.256	8.91499E-7
1975.275	8.88459E-7
1979.318	8.88650E-7
1989.422	8.88501E-7
1999.526	8.91228E-7
2001.544	8.89146E-7
2003.563	8.88543E-7
2005.582	8.88397E-7
2009.625	8.88531E-7
2015.686	8.97372E-7
2017.705	8.99791E-7
2019.729	8.88783E-7
2021.773	8.88469E-7
2035.894	8.88362E-7
2039.931	8.88516E-7
2045.993	8.88865E-7
2048.011	8.88717E-7
2050.030	8.88522E-7
2062.153	8.94979E-7
2064.177	8.88550E-7
2066.196	8.88362E-7
2068.214	8.88456E-7
2072.257	8.88566E-7
2074.276	8.90956E-7
2076.300	8.88609E-7
2078.318	8.88516E-7
2084.385	8.88723E-7
2088.422	8.88618E-7
2092.460	8.88517E-7
2104.582	8.97319E-7
2106.606	8.97741E-7
2108.625	8.88534E-7
2110.649	8.90504E-7
2112.663	8.88472E-7
2114.686	8.88729E-7
2120.748	8.95225E-7
2122.767	8.88515E-7
2124.785	8.88406E-7
2134.889	8.88509E-7
2144.993	8.88614E-7
2149.031	8.88714E-7
2155.092	8.88511E-7
2157.116	8.88369E-7
2159.135	8.88529E-7
2165.196	8.88436E-7
2175.295	8.88549E-7
2179.343	8.88705E-7
2181.361	8.88560E-7
2183.380	8.88736E-7
2185.399	8.88577E-7
2187.418	8.88435E-7
2189.442	8.88575E-7
2197.527	8.89974E-7
2199.546	8.88506E-7
2201.564	8.88416E-7
2203.583	8.88551E-7
2213.687	8.88653E-7
2215.706	8.88519E-7
2217.724	8.88627E-7
2223.786	8.88514E-7
2229.852	8.88406E-7
2233.890	8.88501E-7
2243.989	8.88601E-7
2260.159	8.88453E-7
2264.197	8.88591E-7
2276.319	8.88464E-7
2278.338	8.88620E-7
2290.461	8.88337E-7
2294.503	8.88508E-7
2308.645	8.82299E-7
2310.664	8.88545E-7
2312.688	8.88642E-7
2320.768	8.88438E-7
2322.786	8.84516E-7
2324.810	8.88506E-7
2338.952	8.88633E-7
2347.032	8.92052E-7
2349.051	8.88625E-7
2351.074	8.88471E-7
2369.259	8.87047E-7
2371.277	8.88531E-7
2373.296	8.88631E-7
2381.381	8.88475E-7
2383.400	8.88608E-7
2385.419	8.88503E-7
2389.461	8.88387E-7
2397.541	8.84691E-7
2399.565	8.88252E-7
2401.584	8.88591E-7
2413.707	8.79178E-7
2415.726	8.88212E-7
2417.749	8.88631E-7
2419.768	8.88490E-7
2427.848	8.88385E-7
2429.867	8.88549E-7
2444.014	8.87107E-7
2446.032	8.88622E-7
