Elapsed time [s]	Value [-1,361]
1436.056	50.58400
1438.203	359.1040
1440.353	307.6240
1442.503	256.1440
1444.653	203.8720
1446.804	152.3920
1448.956	100.9120
1451.109	49.43200
1453.261	357.9520
1455.406	306.4720
1457.562	254.2000
1459.709	202.7200
1461.856	151.2400
1464.009	99.76000
1466.157	48.28000
1468.309	356.8000
1470.462	304.5280
1472.609	253.0480
1474.762	201.5680
1476.909	150.0880
1479.062	98.60800
1481.210	47.12800
1483.362	354.8560
1485.520	303.3760
1487.667	251.8960
1489.815	200.4160
1491.962	148.9360
1494.115	97.45600
1496.268	45.18400
1498.415	353.7040
1500.568	302.2240
1502.720	250.7440
1504.868	199.2640
1507.015	147.7840
1509.168	95.51200
1511.321	44.03200
1513.473	352.5520
1515.621	301.0720
1517.773	249.5920
1519.926	198.1120
1522.074	145.8400
1524.226	94.36000
1526.374	42.88000
1528.526	351.4000
1530.674	299.9200
1532.826	247.6480
1534.974	196.1680
1537.132	144.6880
1539.279	93.20800
1541.427	41.72800
1543.579	350.2480
1545.727	298.7680
1547.879	246.4960
1550.027	195.0160
1552.180	143.5360
1554.332	92.05600
1556.480	40.57600
1558.632	349.0960
1560.780	296.8240
1562.932	245.3440
1565.085	193.8640
1567.233	142.3840
1569.385	90.90400
1571.533	39.42400
1573.690	347.1520
1575.838	295.6720
1577.985	244.1920
1580.138	192.7120
1582.286	141.2320
1584.438	88.96000
1586.586	37.48000
1588.738	346.0000
1590.891	294.5200
1593.038	243.0400
1595.191	191.5600
1597.339	139.2880
1599.491	87.80800
1601.644	36.32800
1603.791	344.8480
1605.944	293.3680
1608.091	241.8880
1610.244	189.6160
1612.392	138.1360
1614.544	86.65600
1616.697	35.17600
1618.844	343.6960
1620.997	292.2160
1623.144	239.9440
1625.297	188.4640
1627.450	136.9840
1629.597	85.50400
1631.750	34.02400
1633.902	342.5440
1636.055	290.2720
1638.203	238.7920
1640.350	187.3120
1642.503	135.8320
1644.650	84.35200
1646.803	32.87200
1648.950	340.6000
1651.103	289.1200
1653.255	237.6400
1655.403	186.1600
1657.556	134.6800
1659.708	83.20000
1661.856	30.92800
1664.008	339.4480
1666.161	287.9680
1668.314	236.4880
1670.461	185.0080
1672.619	133.5280
1674.766	81.25600
1676.914	29.77600
1679.066	338.2960
1681.209	286.8160
1683.361	235.3360
1685.514	183.8560
1687.662	131.5840
1689.814	80.10400
1691.962	28.62400
1694.114	337.1440
1696.262	285.6640
1698.414	234.1840
1700.562	181.9120
1702.715	130.4320
1704.867	78.95200
1707.015	27.47200
1709.167	335.9920
1711.315	284.5120
1713.467	232.2400
1715.620	180.7600
1717.768	129.2800
1719.925	77.80000
1722.068	26.32000
1724.220	334.8400
1726.368	282.5680
1728.520	231.0880
1730.673	179.6080
1732.821	128.1280
1734.973	76.64800
1737.121	25.16800
1739.273	332.8960
1741.426	281.4160
1743.573	229.9360
1745.726	178.4560
1747.874	126.9760
1750.026	75.49600
