Elapsed time [s]	Value [-1E+100,1E+100]
800.486	0.4695000
802.587	0.4700000
804.685	0.4705000
806.789	0.4709000
808.888	0.4712000
810.989	0.4721000
813.095	0.4724000
815.188	0.4728000
817.289	0.4735000
819.391	0.4737000
821.492	0.4741000
823.590	0.4749000
825.691	0.4752000
827.793	0.4760000
829.894	0.4764000
831.995	0.4768000
834.096	0.4773000
836.195	0.4777000
838.296	0.4782000
840.397	0.4787000
842.498	0.4795000
844.599	0.4797000
846.703	0.4803000
848.799	0.4811000
850.900	0.4815000
853.001	0.4820000
855.100	0.4824000
857.201	0.4831000
859.302	0.4833000
861.403	0.4840000
863.502	0.4844000
865.603	0.4852000
867.704	0.4854000
869.802	0.4862000
871.906	0.4866000
874.005	0.4872000
876.106	0.4875000
878.207	0.4878000
880.308	0.4887000
882.409	0.4891000
884.508	0.4896000
886.614	0.4902000
888.710	0.4903000
890.811	0.4911000
892.910	0.4914000
895.011	0.4918000
897.112	0.4927000
899.213	0.4931000
901.314	0.4936000
903.413	0.4941000
905.519	0.4946000
907.620	0.4951000
909.721	0.4955000
911.820	0.4961000
913.921	0.4966000
916.022	0.4973000
918.123	0.4978000
920.225	0.4981000
922.326	0.4986000
924.424	0.4993000
926.525	0.4997000
928.626	0.5001000
930.728	0.5007000
932.826	0.5012000
934.927	0.5017000
937.028	0.5021000
939.130	0.5028000
941.228	0.5031000
943.329	0.5039000
945.430	0.5044000
947.532	0.5051000
949.633	0.5053000
951.734	0.5061000
953.832	0.5065000
955.934	0.5070000
958.040	0.5073000
960.136	0.5077000
962.237	0.5084000
964.335	0.5086000
966.437	0.5091000
968.538	0.5100000
970.636	0.5105000
972.740	0.5108000
974.839	0.5112000
976.940	0.5120000
979.041	0.5122000
981.139	0.5125000
983.241	0.5133000
985.342	0.5138000
987.443	0.5144000
989.544	0.5151000
991.643	0.5155000
993.749	0.5158000
995.845	0.5162000
997.946	0.5171000
1000.047	0.5173000
1002.146	0.5177000
1004.247	0.5183000
1006.348	0.5189000
1008.449	0.5194000
1010.548	0.5196000
1012.649	0.5205000
1014.750	0.5210000
1016.851	0.5215000
1018.952	0.5220000
1021.053	0.5223000
1023.152	0.5228000
1025.253	0.5236000
1027.354	0.5241000
1029.455	0.5246000
1031.556	0.5250000
1033.655	0.5255000
1035.756	0.5258000
1037.857	0.5267000
1039.958	0.5269000
1042.057	0.5276000
1044.158	0.5281000
1046.259	0.5286000
1048.360	0.5289000
1050.461	0.5294000
1052.560	0.5302000
1054.661	0.5308000
1056.762	0.5313000
1058.863	0.5318000
1060.965	0.5323000
1063.063	0.5331000
1065.164	0.5336000
1067.265	0.5339000
1069.366	0.5346000
1071.473	0.5349000
1073.566	0.5354000
1075.667	0.5360000
1077.768	0.5365000
1079.870	0.5371000
1081.968	0.5376000
1084.072	0.5381000
1086.170	0.5386000
1088.272	0.5394000
1090.373	0.5396000
1092.471	0.5403000
1094.572	0.5409000
1096.674	0.5413000
1098.775	0.5418000
1100.876	0.5422000
1102.974	0.5426000
1105.075	0.5433000
1107.177	0.5436000
1109.278	0.5442000
1111.376	0.5448000
1113.477	0.5454000
1115.579	0.5461000
1117.680	0.5466000
1119.781	0.5468000
1121.879	0.5473000
1123.981	0.5480000
1126.082	0.5485000
1128.183	0.5487000
1130.284	0.5494000
1132.383	0.5499000
1134.484	0.5504000
1136.585	0.5507000
1138.686	0.5516000
1140.784	0.5522000
1142.886	0.5526000
1144.987	0.5531000
1147.088	0.5537000
1149.189	0.5542000
1151.288	0.5547000
1153.389	0.5553000
1155.490	0.5557000
1157.591	0.5561000
1159.692	0.5563000
1161.791	0.5570000
1163.892	0.5575000
1165.993	0.5580000
1168.094	0.5583000
1170.195	0.5590000
1172.294	0.5593000
1174.395	0.5598000
1176.496	0.5605000
1178.597	0.5609000
1180.696	0.5614000
1182.797	0.5619000
1184.898	0.5624000
1186.999	0.5626000
1189.098	0.5630000
1191.199	0.5636000
1193.300	0.5641000
1195.401	0.5648000
1197.502	0.5651000
1199.601	0.5658000
1201.702	0.5664000
1203.803	0.5666000
1205.904	0.5674000
1208.003	0.5679000
1210.104	0.5682000
1212.205	0.5689000
1214.306	0.5694000
1216.405	0.5699000
1218.506	0.5704000
1220.607	0.5709000
1222.708	0.5716000
1224.807	0.5719000
1226.908	0.5725000
1229.009	0.5728000
1231.110	0.5735000
1233.211	0.5740000
1235.310	0.5742000
1237.411	0.5750000
1239.512	0.5752000
1241.613	0.5757000
1243.714	0.5764000
1245.813	0.5768000
1247.914	0.5774000
1250.015	0.5780000
1252.116	0.5784000
1254.215	0.5786000
1256.316	0.5794000
1258.417	0.5799000
1260.518	0.5804000
1262.619	0.5806000
1264.718	0.5812000
1266.819	0.5819000
1268.920	0.5824000
1271.021	0.5830000
1273.123	0.5833000
1275.221	0.5841000
1277.322	0.5846000
1279.423	0.5850000
1281.525	0.5854000
1283.626	0.5857000
1285.724	0.5862000
1287.825	0.5870000
1289.926	0.5874000
1292.028	0.5879000
1294.126	0.5883000
1296.227	0.5890000
1298.328	0.5895000
1300.430	0.5897000
1302.531	0.5902000
1304.629	0.5909000
1306.730	0.5912000
1308.832	0.5917000
1310.933	0.5926000
1313.034	0.5930000
1315.132	0.5932000
1317.233	0.5940000
1319.335	0.5944000
1321.436	0.5951000
1323.537	0.5957000
1325.638	0.5962000
1327.737	0.5964000
1329.838	0.5969000
1331.939	0.5976000
1334.037	0.5981000
1336.141	0.5985000
1338.240	0.5990000
1340.341	0.5994000
1342.442	0.6001000
1344.541	0.6006000
1346.642	0.6011000
1348.743	0.6013000
1350.844	0.6018000
1352.942	0.6025000
1355.044	0.6027000
1357.145	0.6033000
1359.243	0.6039000
1361.347	0.6043000
1363.446	0.6048000
1365.547	0.6056000
1367.648	0.6061000
1369.749	0.6065000
1371.850	0.6067000
1373.949	0.6072000
1376.050	0.6080000
1378.151	0.6083000
1380.252	0.6091000
1382.353	0.6096000
1384.452	0.6098000
1386.553	0.6103000
1388.654	0.6111000
1390.755	0.6116000
1392.854	0.6124000
1394.955	0.6126000
1397.056	0.6133000
1399.157	0.6137000
1401.256	0.6141000
1403.357	0.6147000
1405.458	0.6152000
1407.559	0.6158000
1409.660	0.6163000
1411.759	0.6166000
1413.860	0.6175000
1415.961	0.6180000
1418.062	0.6184000
1420.161	0.6189000
1422.262	0.6192000
1424.363	0.6198000
1426.464	0.6203000
1428.568	0.6208000
1430.664	0.6212000
1432.765	0.6217000
1434.866	0.6219000
1436.965	0.6224000
1439.066	0.6231000
1441.167	0.6239000
1443.268	0.6242000
1445.369	0.6250000
1447.468	0.6253000
1449.569	0.6257000
1451.670	0.6266000
1453.771	0.6271000
1455.872	0.6275000
1457.971	0.6278000
1460.075	0.6284000
1462.171	0.6287000
1464.272	0.6296000
1466.373	0.6301000
1468.474	0.6306000
1470.575	0.6308000
1472.676	0.6314000
1474.777	0.6322000
1476.879	0.6327000
1478.980	0.6332000
1481.081	0.6334000
1483.177	0.6339000
1485.340	0.6341000
1487.379	0.6350000
1489.480	0.6357000
1491.581	0.6362000
1493.683	0.6364000
1495.784	0.6368000
1497.885	0.6375000
1499.986	0.6377000
1502.097	0.6383000
1504.183	0.6391000
1506.289	0.6393000
1508.390	0.6398000
1510.486	0.6405000
1512.588	0.6413000
1514.689	0.6418000
1516.790	0.6422000
1518.891	0.6426000
1520.992	0.6431000
1523.093	0.6434000
1525.194	0.6438000
1527.296	0.6446000
1529.397	0.6450000
1531.493	0.6455000
1533.599	0.6460000
1535.695	0.6468000
1537.796	0.6470000
1539.897	0.6478000
1541.998	0.6480000
1544.099	0.6489000
1546.201	0.6494000
1548.302	0.6498000
1550.398	0.6503000
1552.499	0.6509000
1554.600	0.6513000
1556.701	0.6515000
1558.802	0.6523000
1560.903	0.6529000
