Elapsed time [s]	Value [1E-13,.1]
3201.983	8.77136E-7
3203.991	8.79604E-7
3206.005	8.77136E-7
3210.022	8.79604E-7
3212.035	8.77136E-7
3214.044	8.88315E-7
3218.066	8.91430E-7
3220.079	8.77136E-7
3224.101	8.79604E-7
3228.134	8.88315E-7
3236.178	8.91430E-7
3238.186	8.77136E-7
3242.208	8.79604E-7
3244.222	8.91430E-7
3246.230	8.88315E-7
3250.252	8.79604E-7
3254.274	8.77136E-7
3256.283	8.82708E-7
3258.296	8.77136E-7
3260.305	8.88315E-7
3266.340	8.91430E-7
3268.349	8.77136E-7
3270.362	8.79604E-7
3274.384	8.88315E-7
3278.401	8.77136E-7
3280.410	8.88315E-7
3282.423	8.77136E-7
3286.445	8.79604E-7
3290.462	8.88315E-7
3292.476	8.91430E-7
3294.484	8.88315E-7
3296.498	8.77136E-7
3304.537	8.88315E-7
3306.545	8.91430E-7
3310.567	8.79604E-7
3314.584	8.77136E-7
3316.598	8.79604E-7
3320.614	8.88315E-7
3324.636	8.77136E-7
3330.667	8.91430E-7
3332.681	8.77136E-7
3334.689	8.88315E-7
3340.719	8.79604E-7
3342.728	8.77136E-7
3348.758	8.91430E-7
3352.786	8.79604E-7
3354.799	8.88315E-7
3356.808	8.77136E-7
3360.830	8.79604E-7
3364.852	8.91430E-7
3366.860	8.88315E-7
3368.874	8.79604E-7
3370.887	8.77136E-7
3372.901	8.79604E-7
3378.926	8.88315E-7
3386.970	8.77136E-7
3395.014	8.91430E-7
3397.023	8.88315E-7
3399.031	8.77136E-7
3405.067	8.88315E-7
3407.075	8.79604E-7
3409.084	8.85803E-7
3411.097	8.91430E-7
3415.114	8.88315E-7
3417.128	8.79604E-7
3419.136	8.77136E-7
3423.168	8.91430E-7
3427.196	8.79604E-7
3429.199	8.88315E-7
3431.207	8.77136E-7
3433.216	8.79604E-7
3439.251	8.91430E-7
3443.273	8.88315E-7
3445.282	8.77136E-7
3449.304	8.79604E-7
3453.326	8.77136E-7
3455.339	8.88315E-7
3457.348	8.77136E-7
3459.361	8.88315E-7
3463.384	8.82708E-7
3465.392	8.79604E-7
3467.411	8.88315E-7
3475.439	8.77136E-7
3479.466	8.79604E-7
3481.475	8.88315E-7
3483.494	8.77136E-7
3485.502	8.88315E-7
3487.516	8.91430E-7
3489.524	8.88315E-7
3491.533	8.82708E-7
3493.546	8.79604E-7
3495.560	8.77136E-7
3497.568	8.79604E-7
3499.587	8.88315E-7
3503.604	8.77136E-7
3505.612	8.88315E-7
3507.621	8.77136E-7
3515.660	8.91430E-7
3517.673	8.88315E-7
3519.682	8.91430E-7
3521.695	8.77136E-7
3523.704	8.79604E-7
3525.717	8.91430E-7
3527.726	8.88315E-7
3531.748	8.91430E-7
3537.778	8.79604E-7
3543.809	8.91430E-7
3545.822	8.88315E-7
3551.853	8.77136E-7
3553.866	8.79604E-7
3555.875	8.91430E-7
3557.883	8.77136E-7
3559.897	8.91430E-7
3565.927	8.88315E-7
3567.936	8.77136E-7
3569.959	8.79604E-7
3571.958	8.88315E-7
3573.971	8.91430E-7
3575.980	8.88315E-7
3582.010	8.79604E-7
3584.019	8.77136E-7
3588.041	8.79604E-7
3590.054	8.88315E-7
3594.071	8.91430E-7
3596.085	8.77136E-7
3600.107	8.82708E-7
3602.115	8.79604E-7
3604.124	8.91430E-7
3608.151	8.88315E-7
3610.159	8.91430E-7
3612.173	8.88315E-7
3614.181	8.77136E-7
3618.203	8.88315E-7
3620.212	8.91430E-7
3622.225	8.88315E-7
3628.256	8.77136E-7
3630.264	8.88315E-7
3632.273	8.77136E-7
3634.286	8.88315E-7
3642.325	8.77136E-7
3646.347	8.79604E-7
3648.361	8.91430E-7
3652.378	8.79604E-7
3654.391	8.88315E-7
3658.408	8.77136E-7
3660.422	8.85803E-7
3662.435	8.79604E-7
3664.444	8.88315E-7
3670.474	8.79604E-7
3676.510	8.91430E-7
3678.513	8.88315E-7
3682.535	8.91430E-7
3684.549	8.88315E-7
3688.571	8.77136E-7
3692.593	8.91430E-7
3696.610	8.88315E-7
3702.640	8.77136E-7
3704.654	8.88315E-7
3708.670	8.77136E-7
3710.689	8.91430E-7
3712.692	8.88315E-7
3718.728	8.79604E-7
3720.737	8.88315E-7
3722.750	8.91430E-7
3724.759	8.88315E-7
3728.781	8.91430E-7
3730.794	8.88315E-7
3732.803	8.77136E-7
3738.843	8.88315E-7
3742.865	8.91430E-7
3744.874	8.88315E-7
3746.887	8.77136E-7
3750.909	8.79604E-7
3752.918	8.91430E-7
3754.931	8.88315E-7
3762.976	8.77136E-7
3764.984	8.79604E-7
3766.992	8.77136E-7
3769.006	8.88315E-7
3771.014	8.91430E-7
3773.028	8.88315E-7
3775.036	8.77136E-7
3777.045	8.79604E-7
3779.058	8.88315E-7
3781.067	8.91430E-7
3783.081	8.79604E-7
3785.084	8.88315E-7
3787.097	8.91430E-7
3789.106	8.88315E-7
3793.128	8.77136E-7
3797.150	8.88315E-7
3799.158	8.91430E-7
3801.167	8.88315E-7
3803.180	8.79604E-7
3805.189	8.88315E-7
3807.202	8.77136E-7
3809.211	8.88315E-7
3811.224	8.77136E-7
