Elapsed time [s]	Value [0,1E-05]
3198.867	8.88500E-7
3200.891	8.88797E-7
3202.910	8.77535E-7
3204.928	8.88134E-7
3206.952	8.77487E-7
3215.038	8.88801E-7
3217.051	8.88944E-7
3219.075	8.88855E-7
3221.094	8.77470E-7
3223.118	8.77340E-7
3225.136	8.80864E-7
3227.165	8.79374E-7
3229.174	8.88664E-7
3231.198	8.88763E-7
3235.240	8.88662E-7
3237.259	8.86559E-7
3239.288	8.77603E-7
3243.320	8.86680E-7
3245.344	8.90123E-7
3247.358	8.88876E-7
3251.401	8.82743E-7
3253.419	8.77561E-7
3257.462	8.77741E-7
3259.481	8.82752E-7
3261.499	8.88694E-7
3263.523	8.88604E-7
3267.561	8.77647E-7
3269.585	8.77396E-7
3273.622	8.87477E-7
3275.646	8.88657E-7
3277.665	8.78779E-7
3279.684	8.88171E-7
3281.707	8.77933E-7
3283.726	8.77483E-7
3285.745	8.77584E-7
3289.793	8.86813E-7
3291.806	8.88789E-7
3293.830	8.88675E-7
3295.849	8.77514E-7
3297.873	8.77323E-7
3299.892	8.77431E-7
3303.929	8.86466E-7
3305.953	8.88770E-7
3307.972	8.77717E-7
3309.990	8.77581E-7
3312.014	8.80864E-7
3314.038	8.77514E-7
3320.094	8.88743E-7
3322.113	8.87204E-7
3324.132	8.81098E-7
3326.156	8.77459E-7
3328.174	8.77347E-7
3330.193	8.81032E-7
3332.217	8.77560E-7
3336.255	8.88666E-7
3338.278	8.87875E-7
3340.297	8.77618E-7
3342.321	8.77358E-7
3344.345	8.77469E-7
3348.388	8.77958E-7
3350.411	8.88857E-7
3352.420	8.78263E-7
3354.444	8.86270E-7
3356.463	8.77859E-7
3358.486	8.77524E-7
3362.524	8.77410E-7
3364.543	8.84147E-7
3366.566	8.88780E-7
3370.604	8.77383E-7
3374.647	8.77472E-7
3378.689	8.85772E-7
3380.708	8.88826E-7
3382.727	8.87992E-7
3384.751	8.88691E-7
3386.769	8.86344E-7
3388.788	8.77553E-7
3394.849	8.88359E-7
3396.873	8.88681E-7
3398.892	8.82688E-7
3400.911	8.79001E-7
3402.930	8.77278E-7
3404.953	8.81262E-7
3406.972	8.77819E-7
3408.996	8.77540E-7
3411.015	8.88831E-7
3415.057	8.88712E-7
3417.076	8.77392E-7
3423.138	8.86359E-7
3425.156	8.88852E-7
3427.180	8.79284E-7
3429.204	8.88273E-7
3431.218	8.84891E-7
3433.236	8.77282E-7
3435.271	8.77373E-7
3439.303	8.86550E-7
3441.322	8.88721E-7
3445.364	8.79641E-7
3447.383	8.77253E-7
3449.402	8.77413E-7
3455.463	8.88698E-7
3457.482	8.83291E-7
3459.506	8.88657E-7
3461.524	8.88524E-7
3463.548	8.77335E-7
3467.586	8.84486E-7
3469.620	8.88622E-7
3473.657	8.88715E-7
3475.681	8.78813E-7
3477.700	8.77287E-7
3479.719	8.77401E-7
3481.738	8.88712E-7
3483.761	8.77472E-7
3485.780	8.88690E-7
3487.799	8.88805E-7
3489.818	8.88709E-7
3491.842	8.81277E-7
3493.860	8.77577E-7
3495.884	8.77469E-7
3497.903	8.82606E-7
3499.922	8.88609E-7
3503.969	8.83244E-7
3505.983	8.88599E-7
3508.002	8.77290E-7
3510.026	8.77389E-7
3512.044	8.77529E-7
3514.068	8.83769E-7
3516.087	8.88641E-7
3520.124	8.84565E-7
3522.148	8.77365E-7
3524.167	8.77460E-7
3526.186	8.88472E-7
3528.210	8.85901E-7
