# exported by xylib from a bruker_raw file
# AMPLIFIER_GAIN: 120
# DISCRIMINATOR_1_LOWER_LEVEL: 0.3
# GENERATOR_CURRENT: 30
# GENERATOR_VOLTAGE: 40
# HIGH_VOLTAGE: 727
# ROTATION_SPEED [rpm]: 0
# START_2THETA: 60
# START_THETA: 30
# STEPS: 3001
# STEP_SIZE: 0.006
# TIME_PER_STEP: 16.1061
# USED_LAMBDA: 1.5406
# column_1	column_2
61.080000	380.000000
61.086000	378.000000
61.092000	386.000000
61.098000	344.000000
61.104000	401.000000
61.110000	404.000000
61.116000	377.000000
61.122000	376.000000
61.128000	384.000000
61.134000	365.000000
61.140000	343.000000
61.146000	385.000000
61.152000	364.000000
61.158000	358.000000
61.164000	357.000000
61.170000	372.000000
61.176000	397.000000
61.182000	366.000000
61.188000	373.000000
61.194000	372.000000
61.200000	399.000000
61.206000	383.000000
61.212000	358.000000
61.218000	383.000000
61.224000	363.000000
61.230000	397.000000
61.236000	385.000000
61.242000	403.000000
61.248000	372.000000
61.254000	379.000000
61.260000	357.000000
61.266000	400.000000
61.272000	389.000000
61.278000	384.000000
61.284000	382.000000
61.290000	395.000000
61.296000	386.000000
61.302000	406.000000
61.308000	371.000000
61.314000	382.000000
61.320000	420.000000
61.326000	408.000000
61.332000	362.000000
61.338000	395.000000
61.344000	385.000000
61.350000	388.000000
61.356000	368.000000
61.362000	356.000000
61.368000	402.000000
61.374000	387.000000
61.380000	388.000000
61.386000	395.000000
61.392000	397.000000
61.398000	407.000000
61.404000	410.000000
61.410000	403.000000
61.416000	401.000000
61.422000	404.000000
61.428000	361.000000
61.434000	378.000000
61.440000	377.000000
61.446000	369.000000
61.452000	396.000000
61.458000	388.000000
61.464000	389.000000
61.470000	348.000000
61.476000	402.000000
61.482000	383.000000
61.488000	376.000000
61.494000	388.000000
61.500000	391.000000
61.506000	393.000000
61.512000	374.000000
61.518000	371.000000
61.524000	362.000000
61.530000	434.000000
61.536000	405.000000
61.542000	400.000000
61.548000	395.000000
61.554000	406.000000
61.560000	362.000000
61.566000	385.000000
61.572000	390.000000
61.578000	440.000000
61.584000	365.000000
61.590000	466.000000
61.596000	414.000000
61.602000	409.000000
61.608000	413.000000
61.614000	406.000000
61.620000	416.000000
61.626000	409.000000
61.632000	417.000000
61.638000	406.000000
61.644000	421.000000
61.650000	418.000000
61.656000	395.000000
61.662000	417.000000
61.668000	393.000000
61.674000	445.000000
61.680000	429.000000
61.686000	369.000000
61.692000	426.000000
61.698000	416.000000
61.704000	477.000000
61.710000	384.000000
61.716000	401.000000
61.722000	439.000000
61.728000	426.000000
61.734000	420.000000
61.740000	414.000000
61.746000	377.000000
61.752000	428.000000
61.758000	424.000000
61.764000	428.000000
61.770000	389.000000
61.776000	401.000000
61.782000	436.000000
61.788000	493.000000
61.794000	453.000000
61.800000	428.000000
61.806000	435.000000
61.812000	416.000000
61.818000	405.000000
61.824000	435.000000
61.830000	433.000000
61.836000	455.000000
61.842000	434.000000
61.848000	460.000000
61.854000	456.000000
61.860000	478.000000
61.866000	413.000000
61.872000	463.000000
61.878000	436.000000
61.884000	454.000000
61.890000	453.000000
61.896000	449.000000
61.902000	494.000000
61.908000	472.000000
61.914000	471.000000
61.920000	454.000000
61.926000	509.000000
61.932000	464.000000
61.938000	496.000000
61.944000	485.000000
61.950000	472.000000
61.956000	482.000000
61.962000	476.000000
61.968000	496.000000
61.974000	505.000000
61.980000	493.000000
61.986000	500.000000
61.992000	514.000000
61.998000	551.000000
62.004000	499.000000
62.010000	498.000000
62.016000	516.000000
62.022000	498.000000
62.028000	549.000000
62.034000	565.000000
62.040000	573.000000
62.046000	546.000000
62.052000	510.000000
62.058000	550.000000
62.064000	569.000000
62.070000	552.000000
62.076000	573.000000
62.082000	567.000000
62.088000	611.000000
62.094000	611.000000
62.100000	572.000000
62.106000	618.000000
62.112000	601.000000
62.118000	586.000000
62.124000	607.000000
62.130000	620.000000
62.136000	610.000000
62.142000	633.000000
62.148000	651.000000
62.154000	676.000000
62.160000	633.000000
62.166000	670.000000
62.172000	658.000000
62.178000	646.000000
62.184000	727.000000
62.190000	697.000000
62.196000	747.000000
62.202000	793.000000
62.208000	751.000000
62.214000	775.000000
62.220000	751.000000
62.226000	849.000000
62.232000	787.000000
62.238000	774.000000
62.244000	788.000000
62.250000	864.000000
62.256000	904.000000
62.262000	925.000000
62.268000	906.000000
62.274000	859.000000
62.280000	944.000000
62.286000	971.000000
62.292000	972.000000
62.298000	1003.000000
62.304000	1060.000000
