[Header]
TITLE,Bi-O-S_bestsample_Add.dat
BYAPP,HeatCapacity,3.8.6,1.7
INFO,,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.6 Build 1,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 12, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
28484396.34,,5905,2.00023,2.0137,0.174,9.3E-6,2.0069085,0.032225034,0,0,0.13208874,0.001356,0.13208874,0.001356,10.772053,0.067389976,0,100,,,1,,,,1.9601E-6,0.1343378,4.0276818,0,0
28484411.78,,5905,2.00093,2.013,0.174,9.4E-6,2.0078146,0.032180581,0,0,0.13214165,0.00139,0.13214165,0.00139,18.709287,0.066807251,0,100,,,1,,,,1.978E-6,0.13478,4.0313194,0,0
28484427.19,,5905,2.00069,2.0145,0.174,9.3E-6,2.0073462,0.032093371,0,0,0.13211757,0.001352,0.13211757,0.001352,10.661427,0.067327856,0,100,,,1,,,,1.9623E-6,0.1336145,4.0294388,0,0
28484442.58,,5905,2.00106,2.0149,0.174,9.4E-6,2.0080658,0.032239788,0,0,0.13211105,0.001456,0.13211105,0.001456,21.607238,0.067120158,0,100,,,1,,,,1.9683E-6,0.1346557,4.0323283,0,0
28484458.11,,5905,2.00099,2.0127,0.174,9.3E-6,2.0079267,0.032109933,0,0,0.1322134,0.001431,0.1322134,0.001431,9.6350322,0.066905051,0,100,,,1,,,,1.9761E-6,0.1342403,4.0317695,0,0
28484473.52,,5905,2.00116,2.0148,0.174,9.3E-6,2.0078293,0.032095788,0,0,0.13212853,0.001353,0.13212853,0.001353,34.853663,0.067113849,0,100,,,1,,,,1.9687E-6,0.1338101,4.0313785,0,0
28484488.88,,5905,2.00129,2.0146,0.174,9.3E-6,2.0073534,0.032167087,0,0,0.1321164,0.01309,0.1321164,0.01309,0.03016406,0.067153872,0,100,,,1,,,,1.9674E-6,0.1342277,4.0294677,0,0
28484655.66,,5905,2.10063,2.1137,0.174,9.3E-6,2.1076148,0.030870868,0,0,0.1486135,0.002006,0.1486135,0.002006,13.387938,0.06342613,0,100,,,1,,,,2.3431E-6,0.1343077,4.44204,0,0
28484671.17,,5905,2.10113,2.1163,0.174,9.4E-6,2.1069618,0.029361664,0,0,0.1471455,0.001982,0.1471455,0.001982,27.23838,0.062425693,0,100,,,1,,,,2.3571E-6,0.1268523,4.4392882,0,0
28484686.64,,5905,2.10188,2.1152,0.174,9.3E-6,2.1075283,0.02896264,0,0,0.1475788,0.002111,0.1475788,0.002111,10.376731,0.06202102,0,100,,,1,,,,2.3795E-6,0.1248514,4.4416754,0,0
