Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,27807856.97,3.2475927375,10.001,10,3.00105063037942,,9.98729617466685E-7,3.40909530434752E-5,7.21611822269023E-7,3.40985894581355E-5,1.21261316782431,1.51538265264862E-8,7.86301141987599E-11,1.51540305229235E-8,0.297293442495368,320,25,5,13.4965986394558,-0.248020083151069,6.6294169248894E-5,4374,0,3.2170734,3.3049319,10.001,10.001,,3.1758125,,,,,,,,,,,,,,,,,,,,,,,3.2475927375
,27807919.59,3.4465549,10.001,10,3.00105063037942,,6.07191157926004E-7,3.42462859459927E-5,1.54538061658332E-9,3.42462859808607E-5,0.00258550042918769,1.5188022914551E-8,7.59023586072649E-11,1.51882125749203E-8,0.286334082033913,320,25,5,13.4965986394558,-0.248020083151069,6.64250647789419E-5,4370,0,3.4205744,3.4756269,10.001,10.001,,3.3776375,,,,,,,,,,,,,,,,,,,,,,,3.4465549
,27807979.62,3.6498676,10.001,10,3.00105063037942,,5.63652558396424E-7,3.26324094719495E-5,1.24050592428918E-6,3.26559795886324E-5,2.17702423506751,1.51472277557244E-8,7.79061827058269E-11,1.514742810041E-8,0.294684689503119,320,25,5,13.4965986394558,-0.248020083151069,6.65969153521335E-5,4370,0,3.6181993,3.7052009,10.001,10.001,,3.5770125,,,,,,,,,,,,,,,,,,,,,,,3.6498676
,27808039.67,3.84384955,10.001,10,3.00105063037942,,1.24694436883938E-6,3.10976230528555E-5,-1.71226666070405E-6,3.11447269478294E-5,-3.15158139400427,1.51378507725758E-8,9.01889602648301E-11,1.513811943609E-8,0.341355303319224,320,25,5,13.4965986394558,-0.248020083151069,6.64909140639966E-5,4370,0,3.8140724,3.8713176,10.001,10.001,,3.775375,,,,,,,,,,,,,,,,,,,,,,,3.84384955
,27808099.66,4.0439584625,10.001,10,3.00105063037942,,5.87935583668533E-7,3.29845253691307E-5,1.67365447459762E-7,3.2984949977525E-5,0.290719704885849,1.51237371428452E-8,8.98475299036761E-11,1.51240040248773E-8,0.34038040026933,320,25,5,13.4965986394558,-0.248020083151069,6.64483529407295E-5,4370,0,4.0134606,4.0727892,10.001,10.001,,3.9729375,,,,,,,,,,,,,,,,,,,,,,,4.0439584625
,27808161.07,4.247933325,10.001,10,3.00105063037942,,1.22474381791384E-6,3.21267519930735E-5,-4.24482217000593E-7,3.21295561559291E-5,-0.756989824970503,1.51629509369861E-8,6.65604575030825E-11,1.51630970257382E-8,0.25150835204937,320,25,5,13.4965986394558,-0.248020083151069,6.63913370963528E-5,4370,0,4.2153516,4.2781701,10.001,10.001,,4.1760625,,,,,,,,,,,,,,,,,,,,,,,4.247933325
,27808219.71,4.4423431625,10.001,10,3.00105063037942,,8.99109251939871E-7,2.63181511022061E-5,7.69061302342148E-7,2.63293853465157E-5,1.67380416915704,1.51826405805452E-8,7.46307940738702E-11,1.518282400456E-8,0.281637114448696,320,25,5,13.4965986394558,-0.248020083151069,6.65672028698527E-5,4370,0,4.415153,4.4707866,10.001,10.001,,4.3683,,,,,,,,,,,,,,,,,,,,,,,4.4423431625
,27808280.55,4.645691625,10.001,10,3.00105063037942,,8.27491784626956E-7,2.90630349053393E-5,-4.83301735071641E-7,2.90670531439995E-5,-0.952708401344864,1.5152779716675E-8,1.78639238840275E-11,1.51527902467451E-8,0.0675471424419435,320,25,5,13.4965986394558,-0.248020083151069,6.64595955015925E-5,4370,0,4.6155581,4.6756825,10.001,10.001,,4.5724875,,,,,,,,,,,,,,,,,,,,,,,4.645691625
,27808342.11,4.847616075,10.001,10,3.00105063037942,,1.11777469250083E-6,2.96126164235026E-5,-8.37851459298591E-7,2.96244670249668E-5,-1.62067910333565,1.51485142242199E-8,6.62793998656254E-11,1.51486592198861E-8,0.250685023798249,320,25,5,13.4965986394558,-0.248020083151069,6.62925631687707E-5,4370,0,4.8176613,4.8780069,10.001,10.001,,4.776325,,,,,,,,,,,,,,,,,,,,,,,4.847616075
,27808401.93,5.04659945,10.001,10,3.00105063037942,,1.09417667489042E-6,2.95525750960998E-5,1.25021394869919E-6,2.95790082614029E-5,2.42243849511653,1.5172523130271E-8,3.54170160863847E-11,1.51725644669462E-8,0.133744522356071,320,25,5,13.4965986394558,-0.248020083151069,6.6237956444579E-5,4370,0,5.0167713,5.0769153,10.001,10.001,,4.9774125,,,,,,,,,,,,,,,,,,,,,,,5.04659945
,27808925.43,1.9935822,9.941,10000,2.99843742449662,,0.0810921001362515,,,,,,,,,,25,1,0,-0.261624417512716,0.00110711118098442,4374,0,1.9909997,1.9961647,9.941,9.941,,1.99585,,,,,,,,,,,,,,,,,,,,,,,1.9935822
,27808961.10,1.99404065,9.941,10000,2.99843742449662,,0.0802318358715022,,,,,,,,,,25,1,0,-0.253804870447693,0.00110679866456043,4373,0,1.9909596,1.9971217,9.941,9.941,,2.0021,,,,,,,,,,,,,,,,,,,,,,,1.99404065
,27808996.24,1.99209505,9.941,10000,2.99843742449662,,0.0791723418144604,,,,,,,,,,25,1,0,-0.256140660947803,0.00110658920494435,4373,0,1.9910722,1.9931179,9.941,9.941,,1.99495,,,,,,,,,,,,,,,,,,,,,,,1.99209505
,27809032.04,1.9934227,9.941,10000,2.99843742449662,,0.0797616575775571,,,,,,,,,,25,1,0,-0.258794324398445,0.00110678728815956,4374,0,1.9928936,1.9939518,9.941,9.941,,1.9972,,,,,,,,,,,,,,,,,,,,,,,1.9934227
,27809184.02,2.0469944625,9.941,10,5.00035974626131,,8.97342242217284E-7,5.86726199121389E-5,2.00581646465018E-6,5.87068959070754E-5,1.95798445172147,1.51336837465968E-8,3.51235225162498E-11,1.51337245053503E-8,0.132976611788878,320,25,5,13.4965986394558,-0.258794324398445,6.78368092073106E-5,4374,0,2.0212831,2.0769885,9.941,9.941,,2.0291875,,,,,,,,,,,,,,,,,,,,,,,2.0469944625
,27809237.75,2.148448425,9.941,10,5.00035974626131,,7.95999565217929E-7,6.05205388542973E-5,4.67799211647041E-6,6.07010645166645E-5,4.41994272762461,1.51357854215536E-8,3.4534852177829E-11,1.51358248200529E-8,0.130729776293981,320,25,5,13.4965986394558,-0.258794324398445,6.74963202211739E-5,4370,0,2.1086903,2.2365131,9.941,9.941,,2.1176,,,,,,,,,,,,,,,,,,,,,,,2.148448425
,27809296.20,2.2194396625,9.941,10,5.00035974626131,,1.54463928835821E-6,6.05615507532701E-5,6.58191594690564E-6,6.09181668073904E-5,6.20264255249153,1.51403614387703E-8,5.07360232382698E-11,1.51404464478647E-8,0.191999981732643,320,25,5,13.4965986394558,-0.258794324398445,6.71799224368865E-5,4370,0,2.1927388,2.2398567,9.941,9.941,,2.2104875,,,,,,,,,,,,,,,,,,,,,,,2.2194396625
,27809358.20,2.3442005875,9.941,10,5.00035974626131,,8.36945034825365E-7,6.25411576537112E-5,1.98375871171339E-6,6.25726114150006E-5,1.81677011564131,1.51313396366947E-8,5.62288748369572E-11,1.5131444111101E-8,0.212913229295011,320,25,5,13.4965986394558,-0.258794324398445,6.70321630655441E-5,4370,0,2.299474,2.4074259,9.941,9.941,,2.322075,,,,,,,,,,,,,,,,,,,,,,,2.3442005875
,27809418.22,2.4180551,9.941,10,5.00035974626131,,8.0075704396394E-7,6.32925479725855E-5,-1.12729300188302E-8,6.32925489764868E-5,-0.010204855495374,1.51528851798879E-8,4.52605865631739E-11,1.51529527748081E-8,0.171137895228333,320,25,5,13.4965986394558,-0.258794324398445,6.71052397111537E-5,4370,0,2.3993506,2.4387934,9.941,9.941,,2.4253375,,,,,,,,,,,,,,,,,,,,,,,2.4180551
