[Header]
TITLE,Bi-O-S_bestsample_Add2.dat
BYAPP,HeatCapacity,3.8.6,1.7
INFO,,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.6 Build 1,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 12, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
36014825.91,,5905,2.00235,2.007,0.131,9.4E-6,2.0270659,0.035953688,0,0,0.14117315,0.001256,0.14117315,0.001256,32.510237,0.077495797,0,100,,,1,,,,1.8217E-6,0.1542401,4.1089963,0,0
36014844.05,,5905,2.00243,2.0073,0.131,9.3E-6,2.0285163,0.035959015,0,0,0.1413314,0.001271,0.1413314,0.001271,49.001373,0.077153366,0,100,,,1,,,,1.8318E-6,0.1549916,4.1148783,0,0
36014862.33,,5905,2.00259,2.0074,0.131,9.4E-6,2.0274978,0.035928137,0,0,0.14142,0.001293,0.14142,0.001293,24.583105,0.077444145,0,100,,,1,,,,1.8261E-6,0.1543067,4.1107472,0,0
36014877.83,,5905,2.00156,2.0064,0.131,9.4E-6,2.0282376,0.035988355,0,0,0.14159241,0.001178,0.14159241,0.001178,52.590422,0.077283672,0,100,,,1,,,,1.8321E-6,0.1548883,4.1137476,0,0
36014895.8,,5905,2.00279,2.0075,0.131,9.3E-6,2.0280456,0.03593256,0,0,0.14114315,0.001199,0.14114315,0.001199,60.565952,0.077139394,0,100,,,1,,,,1.8297E-6,0.1545673,4.1129689,0,0
36014911.19,,5905,2.00218,2.0071,0.131,9.3E-6,2.028533,0.035880991,0,0,0.14112171,0.001194,0.14112171,0.001194,83.740762,0.076896526,0,100,,,1,,,,1.8352E-6,0.1542788,4.1149462,0,0
36014926.45,,5905,2.00213,2.007,0.131,9.4E-6,2.0276422,0.035711821,0,0,0.14101587,0.001145,0.14101587,0.001145,45.834669,0.076082259,0,100,,,1,,,,1.8535E-6,0.1537931,4.1113328,0,0
36014942.78,,5905,2.00249,2.0074,0.131,9.3E-6,2.0274918,0.035575973,0,0,0.14168286,0.001218,0.14168286,0.001218,23.753519,0.077324209,0,100,,,1,,,,1.8323E-6,0.1521645,4.1107228,0,0
36015113.89,,5905,2.10182,2.1118,0.131,9.3E-6,2.1293804,0.036509552,0,0,0.15690607,0.001426,0.15690607,0.001426,24.742015,0.081068796,0,100,,,1,,,,1.9355E-6,0.1546484,4.534261,0,0
36015129.38,,5905,2.10255,2.1125,0.131,9.3E-6,2.130489,0.038082817,0,0,0.15750361,0.001199,0.15750361,0.001199,51.038066,0.082108915,0,100,,,1,,,,1.9182E-6,0.1621376,4.5389834,0,0
36015144.69,,5905,2.1027,2.1125,0.131,9.3E-6,2.1307392,0.038368455,0,0,0.15683638,0.001204,0.15683638,0.001204,44.658843,0.081651333,0,100,,,1,,,,1.9208E-6,0.1642178,4.5400494,0,0
36015160.34,,5905,2.10365,2.1132,0.131,9.4E-6,2.1305772,0.038229298,0,0,0.15736337,0.001164,0.15736337,0.001164,55.873073,0.081632335,0,100,,,1,,,,1.9277E-6,0.1633027,4.5393593,0,0
36015175.77,,5905,2.10273,2.1123,0.131,9.2E-6,2.1309621,0.038109259,0,0,0.15670373,0.002078,0.15670373,0.002078,0.73937282,0.080628243,0,100,,,1,,,,1.9435E-6,0.1632647,4.5409997,0,0
